# Time(s) fish0X fish0Y
796.000 0.205 1.183
797.000 0.399 1.184
798.000 0.583 1.189
799.000 0.779 1.179
800.000 0.980 1.175
801.000 1.123 1.181
802.000 1.168 1.024
803.000 1.188 0.877
804.000 1.200 0.715
805.000 1.200 0.543
806.000 1.195 0.355
807.000 1.189 0.151
808.000 1.106 0.023
809.000 0.940 0.038
810.000 0.809 0.026
811.000 0.598 0.042
812.000 0.457 0.123
813.000 0.375 0.217
814.000 0.273 0.257
815.000 0.212 0.299
816.000 0.050 0.266
817.000 0.053 0.129
818.000 0.064 0.045
819.000 0.136 0.039
820.000 0.098 0.112
821.000 0.030 0.070
822.000 0.017 0.163
823.000 0.014 0.286
824.000 0.016 0.409
825.000 0.034 0.532
826.000 0.014 0.671
827.000 0.021 0.827
828.000 0.025 1.015
829.000 0.039 1.145
830.000 0.114 1.175
831.000 0.293 1.181
832.000 0.503 1.184
833.000 0.691 1.182
834.000 0.879 1.187
835.000 1.059 1.188
836.000 1.167 1.148
837.000 1.186 1.033
838.000 1.190 0.873
839.000 1.185 0.713
840.000 1.197 0.507
841.000 1.195 0.308
842.000 1.175 0.114
843.000 1.099 0.020
844.000 0.946 0.013
845.000 0.783 0.020
846.000 0.587 0.025
847.000 0.425 0.015
848.000 0.239 0.048
849.000 0.115 0.036
850.000 0.018 0.142
851.000 0.015 0.296
852.000 0.012 0.481
853.000 0.008 0.660
854.000 0.012 0.823
855.000 0.021 1.024
856.000 0.057 1.164
857.000 0.207 1.170
858.000 0.362 1.185
859.000 0.498 1.188
860.000 0.687 1.190
861.000 0.862 1.185
862.000 1.022 1.195
863.000 0.925 1.077
864.000 0.917 0.856
865.000 0.904 0.624
866.000 0.848 0.385
867.000 0.678 0.244
868.000 0.499 0.128
869.000 0.345 0.177
870.000 0.202 0.162
871.000 0.120 0.039
872.000 0.236 0.016
873.000 0.352 0.010
874.000 0.510 0.008
875.000 0.690 0.016
876.000 0.919 0.008
877.000 1.121 0.014
878.000 1.191 0.097
879.000 1.200 0.284
880.000 1.200 0.467
881.000 1.200 0.671
882.000 1.191 0.890
883.000 1.181 1.103
884.000 1.057 1.177
885.000 0.896 1.168
886.000 0.712 1.188
887.000 0.505 1.186
888.000 0.307 1.171
889.000 0.136 1.175
890.000 0.030 1.100
891.000 0.024 0.940
892.000 0.021 0.777
893.000 0.013 0.605
894.000 0.032 0.512
895.000 0.088 0.431
896.000 0.211 0.395
897.000 0.268 0.295
898.000 0.189 0.191
899.000 0.106 0.123
900.000 0.063 0.047
901.000 0.181 0.027
902.000 0.314 0.044
903.000 0.436 0.076
904.000 0.614 0.023
905.000 0.804 0.018
906.000 1.013 0.012
907.000 1.183 0.055
908.000 1.192 0.205
909.000 1.191 0.404
910.000 1.174 0.593
911.000 1.186 0.787
912.000 1.183 0.986
913.000 1.164 1.155
914.000 1.000 1.173
915.000 0.839 1.153
916.000 0.655 1.187
917.000 0.453 1.182
918.000 0.250 1.182
919.000 0.067 1.147
920.000 0.039 1.005
921.000 0.038 0.824
922.000 0.015 0.627
923.000 0.034 0.441
924.000 0.077 0.242
925.000 0.048 0.086
926.000 0.205 0.024
