# Time(s) fish0X fish0Y
728.000 0.035 0.985
729.000 0.037 0.895
730.000 0.041 0.804
731.000 0.047 0.703
732.000 0.061 0.613
733.000 0.080 0.533
734.000 0.079 0.451
735.000 0.034 0.384
736.000 0.039 0.296
737.000 0.044 0.207
738.000 0.022 0.140
739.000 0.099 0.084
740.000 0.186 0.100
741.000 0.281 0.101
742.000 0.324 0.172
743.000 0.405 0.201
744.000 0.498 0.176
745.000 0.583 0.151
746.000 0.682 0.150
747.000 0.786 0.174
748.000 0.837 0.241
749.000 0.868 0.307
750.000 0.922 0.401
751.000 0.982 0.459
752.000 1.069 0.482
753.000 1.132 0.549
754.000 1.136 0.650
755.000 1.142 0.726
756.000 1.105 0.813
757.000 1.033 0.863
758.000 0.981 0.872
759.000 0.936 0.939
760.000 0.975 1.021
761.000 1.049 1.078
762.000 1.094 1.152
763.000 1.126 1.169
764.000 1.087 1.129
765.000 1.024 1.119
766.000 0.928 1.118
767.000 0.825 1.099
768.000 0.738 1.063
769.000 0.639 1.041
770.000 0.567 0.981
771.000 0.487 0.917
772.000 0.420 0.860
773.000 0.385 0.809
774.000 0.381 0.803
775.000 0.402 0.798
776.000 0.403 0.794
777.000 0.392 0.810
778.000 0.416 0.808
779.000 0.391 0.798
780.000 0.402 0.802
781.000 0.410 0.801
782.000 0.369 0.786
783.000 0.340 0.762
784.000 0.276 0.769
785.000 0.221 0.758
786.000 0.171 0.793
787.000 0.206 0.836
788.000 0.247 0.804
789.000 0.258 0.725
790.000 0.245 0.658
791.000 0.269 0.599
792.000 0.311 0.548
793.000 0.330 0.484
794.000 0.375 0.427
795.000 0.426 0.375
796.000 0.506 0.357
797.000 0.563 0.376
798.000 0.639 0.370
799.000 0.713 0.316
800.000 0.796 0.291
801.000 0.863 0.225
802.000 0.909 0.141
803.000 0.980 0.093
804.000 1.024 0.106
805.000 1.103 0.097
806.000 1.171 0.096
807.000 1.168 0.172
808.000 1.180 0.207
809.000 1.119 0.215
810.000 1.086 0.236
811.000 1.077 0.249
812.000 1.068 0.236
813.000 1.058 0.243
814.000 1.028 0.244
815.000 1.063 0.253
816.000 1.062 0.217
817.000 1.028 0.208
818.000 0.996 0.247
819.000 0.993 0.297
820.000 1.005 0.347
821.000 1.078 0.388
822.000 1.144 0.342
823.000 1.175 0.283
824.000 1.190 0.322
825.000 1.136 0.372
826.000 1.139 0.455
827.000 1.125 0.540
828.000 1.141 0.604
829.000 1.161 0.687
830.000 1.185 0.709
831.000 1.173 0.758
832.000 1.176 0.811
833.000 1.178 0.860
834.000 1.176 0.922
835.000 1.178 0.974
836.000 1.170 1.041
837.000 1.142 1.098
838.000 1.136 1.167
839.000 1.076 1.172
840.000 1.024 1.174
841.000 0.979 1.170
842.000 0.913 1.156
843.000 0.849 1.167
844.000 0.782 1.174
845.000 0.721 1.159
846.000 0.721 1.112
847.000 0.709 1.038
848.000 0.657 0.982
849.000 0.618 0.932
850.000 0.611 0.860
851.000 0.623 0.780
852.000 0.642 0.715
853.000 0.643 0.643
854.000 0.712 0.593
855.000 0.771 0.546
856.000 0.786 0.467
857.000 0.753 0.415
858.000 0.714 0.401
859.000 0.747 0.406
860.000 0.717 0.397
861.000 0.741 0.403
862.000 0.720 0.409
863.000 0.758 0.452
864.000 0.825 0.450
865.000 0.894 0.388
866.000 0.963 0.337
867.000 1.009 0.255
868.000 1.069 0.188
869.000 1.116 0.124
870.000 1.129 0.056
871.000 1.042 0.057
872.000 0.982 0.047
873.000 0.930 0.090
874.000 0.922 0.162
875.000 0.914 0.229
876.000 0.898 0.312
877.000 0.864 0.368
878.000 0.810 0.413
879.000 0.739 0.400
880.000 0.667 0.376
881.000 0.582 0.419
882.000 0.519 0.486
883.000 0.486 0.586
884.000 0.513 0.674
885.000 0.568 0.738
886.000 0.631 0.805
887.000 0.711 0.851
888.000 0.807 0.874
889.000 0.890 0.905
890.000 0.975 0.917
891.000 1.047 1.013
892.000 1.094 1.094
893.000 1.139 1.140
894.000 1.134 1.174
895.000 1.139 1.173
896.000 1.143 1.157
897.000 1.125 1.162
898.000 1.090 1.171
899.000 1.030 1.162
900.000 0.990 1.174
901.000 0.921 1.171
902.000 0.847 1.159
903.000 0.774 1.169
904.000 0.718 1.186
905.000 0.649 1.174
906.000 0.581 1.162
907.000 0.563 1.108
908.000 0.533 1.042
909.000 0.508 0.967
910.000 0.474 0.889
911.000 0.445 0.816
912.000 0.367 0.792
913.000 0.364 0.774
914.000 0.376 0.804
915.000 0.351 0.804
916.000 0.337 0.755
917.000 0.257 0.734
918.000 0.180 0.707
919.000 0.127 0.671
920.000 0.088 0.568
921.000 0.091 0.502
922.000 0.079 0.413
923.000 0.076 0.326
924.000 0.074 0.243
925.000 0.036 0.181
926.000 0.041 0.106
927.000 0.050 0.053
928.000 0.104 0.029
929.000 0.169 0.038
930.000 0.238 0.041
931.000 0.250 0.028
932.000 0.305 0.030
933.000 0.380 0.047
934.000 0.436 0.034
935.000 0.464 0.064
936.000 0.540 0.037
937.000 0.606 0.025
938.000 0.670 0.019
939.000 0.730 0.014
940.000 0.802 0.037
941.000 0.877 0.033
942.000 0.900 0.025
943.000 0.977 0.038
944.000 1.062 0.050
945.000 1.126 0.042
946.000 1.167 0.068
947.000 1.169 0.138
948.000 1.150 0.215
949.000 1.181 0.275
950.000 1.166 0.339
951.000 1.141 0.413
952.000 1.167 0.495
953.000 1.187 0.560
954.000 1.181 0.644
955.000 1.159 0.715
956.000 1.172 0.791
957.000 1.143 0.859
958.000 1.133 0.915
959.000 1.179 0.931
960.000 1.178 0.975
961.000 1.166 1.048
962.000 1.155 1.133
963.000 1.102 1.178
964.000 1.041 1.150
965.000 0.982 1.148
966.000 0.915 1.116
967.000 0.842 1.124
968.000 0.786 1.150
969.000 0.717 1.185
970.000 0.678 1.148
971.000 0.745 1.135
972.000 0.806 1.080
973.000 0.872 1.057
974.000 0.943 1.096
975.000 1.019 1.101
976.000 1.101 1.125
977.000 1.157 1.125
978.000 1.168 1.062
979.000 1.173 0.996
980.000 1.165 0.942
981.000 1.179 0.884
982.000 1.170 0.814
983.000 1.173 0.749
984.000 1.161 0.680
985.000 1.117 0.659
986.000 1.114 0.620
987.000 1.136 0.585
988.000 1.155 0.532
989.000 1.136 0.502
990.000 1.110 0.475
991.000 1.115 0.406
992.000 1.141 0.342
993.000 1.127 0.280
994.000 1.110 0.221
995.000 1.136 0.161
996.000 1.163 0.102
997.000 1.142 0.052
998.000 1.072 0.051
999.000 1.017 0.087
1000.000 0.967 0.104
1001.000 0.887 0.081
1002.000 0.817 0.055
1003.000 0.767 0.106
1004.000 0.735 0.166
1005.000 0.673 0.199
1006.000 0.616 0.233
1007.000 0.548 0.212
1008.000 0.503 0.185
1009.000 0.459 0.118
1010.000 0.460 0.053
1011.000 0.510 0.028
1012.000 0.571 0.030
1013.000 0.595 0.015
1014.000 0.539 0.034
1015.000 0.464 0.047
1016.000 0.405 0.044
1017.000 0.342 0.042
1018.000 0.288 0.037
1019.000 0.239 0.029
1020.000 0.176 0.039
1021.000 0.110 0.040
1022.000 0.069 0.030
1023.000 0.051 0.055
1024.000 0.041 0.099
1025.000 0.047 0.159
1026.000 0.037 0.216
1027.000 0.037 0.277
1028.000 0.025 0.326
1029.000 0.042 0.378
1030.000 0.069 0.397
1031.000 0.066 0.380
1032.000 0.130 0.330
1033.000 0.171 0.293
1034.000 0.215 0.286
1035.000 0.209 0.274
1036.000 0.201 0.326
1037.000 0.204 0.320
1038.000 0.218 0.321
1039.000 0.213 0.320
1040.000 0.188 0.323
1041.000 0.174 0.293
1042.000 0.199 0.271
1043.000 0.247 0.256
1044.000 0.306 0.208
1045.000 0.360 0.208
1046.000 0.391 0.252
1047.000 0.468 0.288
1048.000 0.544 0.301
1049.000 0.620 0.266
1050.000 0.690 0.290
