# TimeStep fish0X fish0Y fish1X fish1Y
59.800 nan nan nan nan
59.867 nan nan nan nan
59.933 nan nan nan nan
60.000 nan nan nan nan
60.067 nan nan nan nan
60.133 nan nan nan nan
60.200 nan nan nan nan
60.267 nan nan nan nan
60.333 nan nan nan nan
60.400 nan nan nan nan
60.467 nan nan nan nan
60.533 nan nan nan nan
60.600 nan nan nan nan
60.667 nan nan 0.548 0.494
60.733 nan nan 0.559 0.481
60.800 nan nan nan nan
60.867 nan nan nan nan
60.933 nan nan nan nan
61.000 nan nan nan nan
61.067 nan nan nan nan
61.133 nan nan nan nan
61.200 nan nan nan nan
61.267 nan nan nan nan
61.333 nan nan nan nan
61.400 nan nan nan nan
61.467 nan nan nan nan
61.533 nan nan nan nan
61.600 nan nan nan nan
61.667 nan nan nan nan
61.733 nan nan nan nan
61.800 nan nan nan nan
61.867 nan nan nan nan
61.933 nan nan nan nan
62.000 nan nan nan nan
62.067 nan nan nan nan
62.133 nan nan nan nan
62.200 nan nan nan nan
62.267 nan nan nan nan
62.333 nan nan nan nan
62.400 nan nan nan nan
62.467 nan nan nan nan
62.533 nan nan nan nan
62.600 nan nan nan nan
62.667 nan nan nan nan
62.733 nan nan nan nan
62.800 nan nan nan nan
62.867 nan nan nan nan
62.933 nan nan nan nan
63.000 nan nan nan nan
63.067 nan nan nan nan
63.133 nan nan nan nan
63.200 nan nan nan nan
63.267 nan nan nan nan
63.333 nan nan nan nan
63.400 nan nan nan nan
63.467 nan nan nan nan
63.533 nan nan nan nan
63.600 nan nan nan nan
63.667 nan nan nan nan
63.733 nan nan nan nan
63.800 nan nan nan nan
63.867 nan nan nan nan
63.933 nan nan nan nan
64.000 nan nan nan nan
64.067 nan nan nan nan
64.133 nan nan nan nan
64.200 nan nan nan nan
64.267 nan nan nan nan
64.333 nan nan nan nan
64.400 nan nan nan nan
64.467 nan nan nan nan
64.533 nan nan nan nan
64.600 nan nan nan nan
64.667 nan nan nan nan
64.733 nan nan nan nan
64.800 nan nan nan nan
64.867 nan nan nan nan
64.933 nan nan nan nan
65.000 nan nan nan nan
65.067 nan nan nan nan
65.133 nan nan nan nan
65.200 nan nan nan nan
65.267 nan nan nan nan
65.333 nan nan nan nan
65.400 nan nan nan nan
65.467 nan nan nan nan
65.533 nan nan nan nan
65.600 nan nan nan nan
65.667 nan nan nan nan
65.733 nan nan nan nan
65.800 nan nan nan nan
65.867 nan nan nan nan
65.933 nan nan nan nan
66.000 nan nan nan nan
66.067 nan nan nan nan
66.133 nan nan nan nan
